seed,T,K,beta,beta0,rho_label,rho_value,q0,true_break,selected_q,selected_break,break_error,Delta_T,R_T,r_T,r_T_over_sqrt_T,kappa_R_over_T_delta_sq,rate_check_available,rate_check_pass,workbook_penalty,mode,known_el_stat,known_p_value,known_reject_5,known_feasible,estimated_el_stat,estimated_p_value,estimated_reject_5,estimated_feasible,gram_stable,gram_condition_number,convex_hull_contains_zero,positive_score_fraction,negative_score_fraction,score_bias_proxy,score_bias_ok,criterion,criterion_type
3724268444,250,4,0.0,0.0,stationary_high,0.95,1,125,1,120,-5.0,1.0,9.521460917862246,9.521460917862246,0.6021900630544419,0.06547888293771995,True,True,16.369720734429986,paper_one_break,0.6364185835556714,0.4250106632383197,False,True,0.5077078338084595,0.4761328043390316,False,True,True,38.57282906064983,True,0.512,0.488,0.0,True,283.79386818433125,workbook_rss_plus_q_kappa_R
3255411224,250,4,0.0,0.0,stationary_high,0.95,1,125,1,128,3.0,1.0,9.521460917862246,9.521460917862246,0.6021900630544419,0.06547888293771995,True,True,16.369720734429986,paper_one_break,0.8171894563034139,0.3660031862930476,False,True,0.449789617577,0.5024348785455715,False,True,True,53.869260305927185,True,0.536,0.464,0.0,True,263.77602889515083,workbook_rss_plus_q_kappa_R
3009241867,250,4,0.0,0.0,stationary_high,0.95,1,125,1,124,-1.0,1.0,9.521460917862246,9.521460917862246,0.6021900630544419,0.06547888293771995,True,True,16.369720734429986,paper_one_break,0.13721301617112336,0.7110675229706841,False,True,0.12397859158723679,0.7247588153121909,False,True,True,57.80863021959706,True,0.5,0.5,0.0,True,264.96542218344837,workbook_rss_plus_q_kappa_R
