method,rho_label,rho,q0,delta,true_break,qhat,estimated_break,break_abs_error,el_stat,p_value,reject_5,feasible,score,score_variance,rss,strength,score_gap_stable_minus_estimated,rep,T,K,min_size,grid_step,penalty
oracle,0.90,0.9,0,0.0,,0,,,0.4847458314987939,0.4862804776677485,False,True,0.5068536876346129,0.5273815356235354,213.5019294927861,0.6164272681839482,0.0,56,240,4,60,4,0.75
estimated,0.90,0.9,0,0.0,,0,,,0.4847458314987939,0.4862804776677485,False,True,0.5068536876346129,0.5273815356235354,213.5019294927861,0.6164272681839482,0.0,56,240,4,60,4,0.75
stable,0.90,0.9,0,0.0,,0,,,2.3786112134016144,0.12300685716722748,False,True,-0.9910661667373205,0.416639456852757,205.0306701175781,0.49084342380069684,0.0,57,240,4,60,4,0.75
oracle,0.90,0.9,0,0.0,,0,,,2.3786112134016144,0.12300685716722748,False,True,-0.9910661667373205,0.416639456852757,205.0306701175781,0.49084342380069684,0.0,57,240,4,60,4,0.75
estimated,0.90,0.9,0,0.0,,0,,,2.3786112134016144,0.12300685716722748,False,True,-0.9910661667373205,0.416639456852757,205.0306701175781,0.49084342380069684,0.0,57,240,4,60,4,0.75
stable,0.90,0.9,0,0.0,,0,,,0.1057586260298275,0.7450255360984405,False,True,-0.24946193515798173,0.5884161040888825,259.2025488926862,0.5262245198898946,0.0,58,240,4,60,4,0.75
oracle,0.90,0.9,0,0.0,,0,,,0.1057586260298275,0.7450255360984405,False,True,-0.24946193515798173,0.5884161040888825,259.2025488926862,0.5262245198898946,0.0,58,240,4,60,4,0.75
estimated,0.90,0.9,0,0.0,,0,,,0.1057586260298275,0.7450255360984405,False,True,-0.24946193515798173,0.5884161040888825,259.2025488926862,0.5262245198898946,0.0,58,240,4,60,4,0.75
stable,0.90,0.9,0,0.0,,0,,,3.700946939057219,0.05438159662528208,False,True,1.42264686918061,0.5620047781002021,209.6623045918452,0.6190267801937192,0.0,59,240,4,60,4,0.75
oracle,0.90,0.9,0,0.0,,0,,,3.700946939057219,0.05438159662528208,False,True,1.42264686918061,0.5620047781002021,209.6623045918452,0.6190267801937192,0.0,59,240,4,60,4,0.75
estimated,0.90,0.9,0,0.0,,0,,,3.700946939057219,0.05438159662528208,False,True,1.42264686918061,0.5620047781002021,209.6623045918452,0.6190267801937192,0.0,59,240,4,60,4,0.75
stable,0.90,0.9,0,0.0,,0,,,1.368363433852489,0.24209326751117244,False,True,0.8877456049589914,0.5763033148015942,243.03378284119142,0.6229768318471816,0.0,60,240,4,60,4,0.75
oracle,0.90,0.9,0,0.0,,0,,,1.368363433852489,0.24209326751117244,False,True,0.8877456049589914,0.5763033148015942,243.03378284119142,0.6229768318471816,0.0,60,240,4,60,4,0.75
estimated,0.90,0.9,0,0.0,,0,,,1.368363433852489,0.24209326751117244,False,True,0.8877456049589914,0.5763033148015942,243.03378284119142,0.6229768318471816,0.0,60,240,4,60,4,0.75
stable,0.90,0.9,0,0.0,,0,,,2.364245875597631,0.1241438924483168,False,True,1.1750485902638461,0.5761595590737152,233.75888823709124,0.5540777912339727,0.0,61,240,4,60,4,0.75
oracle,0.90,0.9,0,0.0,,0,,,2.364245875597631,0.1241438924483168,False,True,1.1750485902638461,0.5761595590737152,233.75888823709124,0.5540777912339727,0.0,61,240,4,60,4,0.75
estimated,0.90,0.9,0,0.0,,0,,,2.364245875597631,0.1241438924483168,False,True,1.1750485902638461,0.5761595590737152,233.75888823709124,0.5540777912339727,0.0,61,240,4,60,4,0.75
stable,0.90,0.9,0,0.0,,0,,,0.4485706378254133,0.5030145183503374,False,True,0.5017496287097711,0.5560564994040382,238.11130773262363,0.48845963528686087,0.0,62,240,4,60,4,0.75
oracle,0.90,0.9,0,0.0,,0,,,0.4485706378254133,0.5030145183503374,False,True,0.5017496287097711,0.5560564994040382,238.11130773262363,0.48845963528686087,0.0,62,240,4,60,4,0.75
estimated,0.90,0.9,0,0.0,,0,,,0.4485706378254133,0.5030145183503374,False,True,0.5017496287097711,0.5560564994040382,238.11130773262363,0.48845963528686087,0.0,62,240,4,60,4,0.75
stable,0.90,0.9,0,0.0,,0,,,0.3391563755532619,0.5603165831365908,False,True,0.44687406093577114,0.5908464140145395,278.16432706626625,0.5458682473269457,0.0,63,240,4,60,4,0.75
oracle,0.90,0.9,0,0.0,,0,,,0.3391563755532619,0.5603165831365908,False,True,0.44687406093577114,0.5908464140145395,278.16432706626625,0.5458682473269457,0.0,63,240,4,60,4,0.75
estimated,0.90,0.9,0,0.0,,0,,,0.3391563755532619,0.5603165831365908,False,True,0.44687406093577114,0.5908464140145395,278.16432706626625,0.5458682473269457,0.0,63,240,4,60,4,0.75
stable,0.90,0.9,0,0.0,,0,,,0.008761648878516673,0.9254239863663934,False,True,0.06642213320054641,0.5041009415769938,208.389414040715,0.5565638682803382,0.0,64,240,4,60,4,0.75
oracle,0.90,0.9,0,0.0,,0,,,0.008761648878516673,0.9254239863663934,False,True,0.06642213320054641,0.5041009415769938,208.389414040715,0.5565638682803382,0.0,64,240,4,60,4,0.75
estimated,0.90,0.9,0,0.0,,0,,,0.008761648878516673,0.9254239863663934,False,True,0.06642213320054641,0.5041009415769938,208.389414040715,0.5565638682803382,0.0,64,240,4,60,4,0.75
stable,0.90,0.9,0,0.0,,0,,,0.8160923286924044,0.3663251599763657,False,True,-0.6879461324926579,0.5795828563701041,241.40127890282528,0.6254684201189228,0.0,65,240,4,60,4,0.75
oracle,0.90,0.9,0,0.0,,0,,,0.8160923286924044,0.3663251599763657,False,True,-0.6879461324926579,0.5795828563701041,241.40127890282528,0.6254684201189228,0.0,65,240,4,60,4,0.75
estimated,0.90,0.9,0,0.0,,0,,,0.8160923286924044,0.3663251599763657,False,True,-0.6879461324926579,0.5795828563701041,241.40127890282528,0.6254684201189228,0.0,65,240,4,60,4,0.75
stable,0.90,0.9,0,0.0,,0,,,0.9350369104380862,0.3335574982804278,False,True,0.6399511464132224,0.43141680007517347,234.22776050669668,0.5067094649779246,0.0,66,240,4,60,4,0.75
oracle,0.90,0.9,0,0.0,,0,,,0.9350369104380862,0.3335574982804278,False,True,0.6399511464132224,0.43141680007517347,234.22776050669668,0.5067094649779246,0.0,66,240,4,60,4,0.75
estimated,0.90,0.9,0,0.0,,0,,,0.9350369104380862,0.3335574982804278,False,True,0.6399511464132224,0.43141680007517347,234.22776050669668,0.5067094649779246,0.0,66,240,4,60,4,0.75
stable,0.90,0.9,0,0.0,,0,,,0.575743381304319,0.44798563307664896,False,True,0.5845511274211304,0.5910798569584177,230.28917029473862,0.623176942746691,0.0,67,240,4,60,4,0.75
oracle,0.90,0.9,0,0.0,,0,,,0.575743381304319,0.44798563307664896,False,True,0.5845511274211304,0.5910798569584177,230.28917029473862,0.623176942746691,0.0,67,240,4,60,4,0.75
estimated,0.90,0.9,0,0.0,,0,,,0.575743381304319,0.44798563307664896,False,True,0.5845511274211304,0.5910798569584177,230.28917029473862,0.623176942746691,0.0,67,240,4,60,4,0.75
stable,0.90,0.9,0,0.0,,0,,,0.09751004668545726,0.7548383869030686,False,True,-0.23259574294587335,0.5539364231548984,227.9483747178559,0.5435263687849923,0.0,68,240,4,60,4,0.75
oracle,0.90,0.9,0,0.0,,0,,,0.09751004668545726,0.7548383869030686,False,True,-0.23259574294587335,0.5539364231548984,227.9483747178559,0.5435263687849923,0.0,68,240,4,60,4,0.75
estimated,0.90,0.9,0,0.0,,0,,,0.09751004668545726,0.7548383869030686,False,True,-0.23259574294587335,0.5539364231548984,227.9483747178559,0.5435263687849923,0.0,68,240,4,60,4,0.75
stable,0.90,0.9,0,0.0,,0,,,0.011423782473310863,0.9148825170361286,False,True,-0.07227843192001172,0.4582627860757397,233.72411352885342,0.48244148449680035,0.0,69,240,4,60,4,0.75
oracle,0.90,0.9,0,0.0,,0,,,0.011423782473310863,0.9148825170361286,False,True,-0.07227843192001172,0.4582627860757397,233.72411352885342,0.48244148449680035,0.0,69,240,4,60,4,0.75
estimated,0.90,0.9,0,0.0,,0,,,0.011423782473310863,0.9148825170361286,False,True,-0.07227843192001172,0.4582627860757397,233.72411352885342,0.48244148449680035,0.0,69,240,4,60,4,0.75
stable,0.90,0.9,0,0.0,,0,,,0.146714544825691,0.7016950388981045,False,True,0.28891418635752814,0.5688871865595736,241.5180409810276,0.5422428408775812,0.0,70,240,4,60,4,0.75
oracle,0.90,0.9,0,0.0,,0,,,0.146714544825691,0.7016950388981045,False,True,0.28891418635752814,0.5688871865595736,241.5180409810276,0.5422428408775812,0.0,70,240,4,60,4,0.75
estimated,0.90,0.9,0,0.0,,0,,,0.146714544825691,0.7016950388981045,False,True,0.28891418635752814,0.5688871865595736,241.5180409810276,0.5422428408775812,0.0,70,240,4,60,4,0.75
stable,0.90,0.9,0,0.0,,1,168.0,,0.052005380346623775,0.8196097941075041,False,True,-0.1690875387372328,0.5499110156936181,223.13710760136945,0.5629628147327513,-0.02343744127215805,71,240,4,60,4,0.75
oracle,0.90,0.9,0,0.0,,1,168.0,,0.052005380346623775,0.8196097941075041,False,True,-0.1690875387372328,0.5499110156936181,223.13710760136945,0.5629628147327513,-0.02343744127215805,71,240,4,60,4,0.75
estimated,0.90,0.9,0,0.0,,1,168.0,,0.041718700390342645,0.8381569202578736,False,True,-0.14565009746507476,0.5087168798583843,207.47519577850147,0.5526058522144801,-0.02343744127215805,71,240,4,60,4,0.75
stable,0.90,0.9,0,0.0,,0,,,0.0014453322587984485,0.9696737086574304,False,True,-0.027915164720329788,0.5394063190051367,211.87497115018323,0.5875752208324632,0.0,72,240,4,60,4,0.75
oracle,0.90,0.9,0,0.0,,0,,,0.0014453322587984485,0.9696737086574304,False,True,-0.027915164720329788,0.5394063190051367,211.87497115018323,0.5875752208324632,0.0,72,240,4,60,4,0.75
estimated,0.90,0.9,0,0.0,,0,,,0.0014453322587984485,0.9696737086574304,False,True,-0.027915164720329788,0.5394063190051367,211.87497115018323,0.5875752208324632,0.0,72,240,4,60,4,0.75
stable,0.90,0.9,0,0.0,,0,,,1.1871291348196642,0.2759094095921947,False,True,-0.7537826990708787,0.46931468597314907,200.74835648997566,0.5282003216206012,0.0,73,240,4,60,4,0.75
oracle,0.90,0.9,0,0.0,,0,,,1.1871291348196642,0.2759094095921947,False,True,-0.7537826990708787,0.46931468597314907,200.74835648997566,0.5282003216206012,0.0,73,240,4,60,4,0.75
estimated,0.90,0.9,0,0.0,,0,,,1.1871291348196642,0.2759094095921947,False,True,-0.7537826990708787,0.46931468597314907,200.74835648997566,0.5282003216206012,0.0,73,240,4,60,4,0.75
stable,0.90,0.9,0,0.0,,0,,,1.6416866657773923,0.2000942078861404,False,True,1.0951718996068132,0.7367007180821332,278.2496215782086,0.6464363956935595,0.0,74,240,4,60,4,0.75
oracle,0.90,0.9,0,0.0,,0,,,1.6416866657773923,0.2000942078861404,False,True,1.0951718996068132,0.7367007180821332,278.2496215782086,0.6464363956935595,0.0,74,240,4,60,4,0.75
estimated,0.90,0.9,0,0.0,,0,,,1.6416866657773923,0.2000942078861404,False,True,1.0951718996068132,0.7367007180821332,278.2496215782086,0.6464363956935595,0.0,74,240,4,60,4,0.75
stable,0.90,0.9,0,0.0,,0,,,2.1093500127989175,0.14640148989893886,False,True,1.2083644117952836,0.6897479458289676,246.50017674082073,0.6675746204868723,0.0,75,240,4,60,4,0.75
oracle,0.90,0.9,0,0.0,,0,,,2.1093500127989175,0.14640148989893886,False,True,1.2083644117952836,0.6897479458289676,246.50017674082073,0.6675746204868723,0.0,75,240,4,60,4,0.75
estimated,0.90,0.9,0,0.0,,0,,,2.1093500127989175,0.14640148989893886,False,True,1.2083644117952836,0.6897479458289676,246.50017674082073,0.6675746204868723,0.0,75,240,4,60,4,0.75
stable,0.90,0.9,0,0.0,,0,,,0.19643883969501252,0.6576107985279378,False,True,-0.39435189328349174,0.7934464850315427,272.1517555907799,0.6991567094071247,0.0,76,240,4,60,4,0.75
oracle,0.90,0.9,0,0.0,,0,,,0.19643883969501252,0.6576107985279378,False,True,-0.39435189328349174,0.7934464850315427,272.1517555907799,0.6991567094071247,0.0,76,240,4,60,4,0.75
estimated,0.90,0.9,0,0.0,,0,,,0.19643883969501252,0.6576107985279378,False,True,-0.39435189328349174,0.7934464850315427,272.1517555907799,0.6991567094071247,0.0,76,240,4,60,4,0.75
stable,0.90,0.9,0,0.0,,0,,,0.3108678834448061,0.5771481051045078,False,True,-0.49200900279818477,0.7803052915234088,281.57248237360375,0.5778802160578612,0.0,77,240,4,60,4,0.75
oracle,0.90,0.9,0,0.0,,0,,,0.3108678834448061,0.5771481051045078,False,True,-0.49200900279818477,0.7803052915234088,281.57248237360375,0.5778802160578612,0.0,77,240,4,60,4,0.75
estimated,0.90,0.9,0,0.0,,0,,,0.3108678834448061,0.5771481051045078,False,True,-0.49200900279818477,0.7803052915234088,281.57248237360375,0.5778802160578612,0.0,77,240,4,60,4,0.75
stable,0.90,0.9,0,0.0,,1,60.0,,0.385744510336094,0.5345447928394153,False,True,0.4775108852560317,0.5966485344150747,244.21055898031054,0.5332101396094251,1.2232002503707902,78,240,4,60,4,0.75
oracle,0.90,0.9,0,0.0,,1,60.0,,0.385744510336094,0.5345447928394153,False,True,0.4775108852560317,0.5966485344150747,244.21055898031054,0.5332101396094251,1.2232002503707902,78,240,4,60,4,0.75
estimated,0.90,0.9,0,0.0,,1,60.0,,1.3418576562395046,0.2467066323257342,False,True,-0.7456893651147584,0.41133111201959216,219.83802926287984,0.4310990246581313,1.2232002503707902,78,240,4,60,4,0.75
stable,0.90,0.9,0,0.0,,0,,,0.5687693734374043,0.4507483493724864,False,True,-0.504343109242641,0.44482258055371077,231.6004169507816,0.5151672401241695,0.0,79,240,4,60,4,0.75
oracle,0.90,0.9,0,0.0,,0,,,0.5687693734374043,0.4507483493724864,False,True,-0.504343109242641,0.44482258055371077,231.6004169507816,0.5151672401241695,0.0,79,240,4,60,4,0.75
estimated,0.90,0.9,0,0.0,,0,,,0.5687693734374043,0.4507483493724864,False,True,-0.504343109242641,0.44482258055371077,231.6004169507816,0.5151672401241695,0.0,79,240,4,60,4,0.75
stable,0.90,0.9,0,0.0,,0,,,0.623125438718845,0.4298882191377703,False,True,0.49252000889594033,0.3914089757318478,205.55071409167033,0.517404565580869,0.0,80,240,4,60,4,0.75
oracle,0.90,0.9,0,0.0,,0,,,0.623125438718845,0.4298882191377703,False,True,0.49252000889594033,0.3914089757318478,205.55071409167033,0.517404565580869,0.0,80,240,4,60,4,0.75
estimated,0.90,0.9,0,0.0,,0,,,0.623125438718845,0.4298882191377703,False,True,0.49252000889594033,0.3914089757318478,205.55071409167033,0.517404565580869,0.0,80,240,4,60,4,0.75
stable,0.90,0.9,0,0.0,,0,,,0.0038071287178523677,0.9508001994192508,False,True,-0.0432645998616713,0.4911148283708898,229.62660021136355,0.5962413733355743,0.0,81,240,4,60,4,0.75
oracle,0.90,0.9,0,0.0,,0,,,0.0038071287178523677,0.9508001994192508,False,True,-0.0432645998616713,0.4911148283708898,229.62660021136355,0.5962413733355743,0.0,81,240,4,60,4,0.75
estimated,0.90,0.9,0,0.0,,0,,,0.0038071287178523677,0.9508001994192508,False,True,-0.0432645998616713,0.4911148283708898,229.62660021136355,0.5962413733355743,0.0,81,240,4,60,4,0.75
stable,0.90,0.9,0,0.0,,0,,,0.7046539494725499,0.40122430453912783,False,True,-0.5627328866555217,0.44929726503540635,215.51435943061114,0.5683414703311246,0.0,82,240,4,60,4,0.75
oracle,0.90,0.9,0,0.0,,0,,,0.7046539494725499,0.40122430453912783,False,True,-0.5627328866555217,0.44929726503540635,215.51435943061114,0.5683414703311246,0.0,82,240,4,60,4,0.75
estimated,0.90,0.9,0,0.0,,0,,,0.7046539494725499,0.40122430453912783,False,True,-0.5627328866555217,0.44929726503540635,215.51435943061114,0.5683414703311246,0.0,82,240,4,60,4,0.75
stable,0.90,0.9,0,0.0,,0,,,0.11186353311298988,0.7380324231746471,False,True,-0.2592577790773687,0.6016127597741463,256.06593260092046,0.48662293838484166,0.0,83,240,4,60,4,0.75
oracle,0.90,0.9,0,0.0,,0,,,0.11186353311298988,0.7380324231746471,False,True,-0.2592577790773687,0.6016127597741463,256.06593260092046,0.48662293838484166,0.0,83,240,4,60,4,0.75
estimated,0.90,0.9,0,0.0,,0,,,0.11186353311298988,0.7380324231746471,False,True,-0.2592577790773687,0.6016127597741463,256.06593260092046,0.48662293838484166,0.0,83,240,4,60,4,0.75
stable,0.90,0.9,0,0.0,,0,,,1.0947979367350539e-05,0.9973599858526739,False,True,-0.00245560930904711,0.5508474808377131,230.87168143761883,0.5125344379791531,0.0,84,240,4,60,4,0.75
oracle,0.90,0.9,0,0.0,,0,,,1.0947979367350539e-05,0.9973599858526739,False,True,-0.00245560930904711,0.5508474808377131,230.87168143761883,0.5125344379791531,0.0,84,240,4,60,4,0.75
estimated,0.90,0.9,0,0.0,,0,,,1.0947979367350539e-05,0.9973599858526739,False,True,-0.00245560930904711,0.5508474808377131,230.87168143761883,0.5125344379791531,0.0,84,240,4,60,4,0.75
stable,0.90,0.9,0,0.0,,0,,,0.7224381394521295,0.3953453179293992,False,True,-0.6175931319163297,0.5252901888749328,274.01409423162943,0.47585292044675676,0.0,85,240,4,60,4,0.75
oracle,0.90,0.9,0,0.0,,0,,,0.7224381394521295,0.3953453179293992,False,True,-0.6175931319163297,0.5252901888749328,274.01409423162943,0.47585292044675676,0.0,85,240,4,60,4,0.75
estimated,0.90,0.9,0,0.0,,0,,,0.7224381394521295,0.3953453179293992,False,True,-0.6175931319163297,0.5252901888749328,274.01409423162943,0.47585292044675676,0.0,85,240,4,60,4,0.75
stable,0.90,0.9,0,0.0,,0,,,2.7185583437070524,0.09918756446504284,False,True,1.3778926543513301,0.6899366384047025,275.266461951896,0.5710473578992352,0.0,86,240,4,60,4,0.75
oracle,0.90,0.9,0,0.0,,0,,,2.7185583437070524,0.09918756446504284,False,True,1.3778926543513301,0.6899366384047025,275.266461951896,0.5710473578992352,0.0,86,240,4,60,4,0.75
estimated,0.90,0.9,0,0.0,,0,,,2.7185583437070524,0.09918756446504284,False,True,1.3778926543513301,0.6899366384047025,275.266461951896,0.5710473578992352,0.0,86,240,4,60,4,0.75
stable,0.90,0.9,0,0.0,,0,,,0.4710042614382984,0.4925255237945112,False,True,-0.5169611527684547,0.5705398229186759,233.58121292193835,0.5685950225627323,0.0,87,240,4,60,4,0.75
oracle,0.90,0.9,0,0.0,,0,,,0.4710042614382984,0.4925255237945112,False,True,-0.5169611527684547,0.5705398229186759,233.58121292193835,0.5685950225627323,0.0,87,240,4,60,4,0.75
estimated,0.90,0.9,0,0.0,,0,,,0.4710042614382984,0.4925255237945112,False,True,-0.5169611527684547,0.5705398229186759,233.58121292193835,0.5685950225627323,0.0,87,240,4,60,4,0.75
stable,0.90,0.9,0,0.0,,0,,,0.3594594352524705,0.548806604667888,False,True,-0.4382285744003065,0.5435915183236973,275.87483046320426,0.46894600291206495,0.0,88,240,4,60,4,0.75
oracle,0.90,0.9,0,0.0,,0,,,0.3594594352524705,0.548806604667888,False,True,-0.4382285744003065,0.5435915183236973,275.87483046320426,0.46894600291206495,0.0,88,240,4,60,4,0.75
estimated,0.90,0.9,0,0.0,,0,,,0.3594594352524705,0.548806604667888,False,True,-0.4382285744003065,0.5435915183236973,275.87483046320426,0.46894600291206495,0.0,88,240,4,60,4,0.75
stable,0.90,0.9,0,0.0,,0,,,0.04005538948490475,0.8413723218189818,False,True,0.13932974767753886,0.48176374044859477,260.9316513580243,0.42734482444312644,0.0,89,240,4,60,4,0.75
oracle,0.90,0.9,0,0.0,,0,,,0.04005538948490475,0.8413723218189818,False,True,0.13932974767753886,0.48176374044859477,260.9316513580243,0.42734482444312644,0.0,89,240,4,60,4,0.75
estimated,0.90,0.9,0,0.0,,0,,,0.04005538948490475,0.8413723218189818,False,True,0.13932974767753886,0.48176374044859477,260.9316513580243,0.42734482444312644,0.0,89,240,4,60,4,0.75
stable,0.90,0.9,0,0.0,,0,,,0.2265059193181318,0.6341268275143312,False,True,0.39090129035617593,0.6781905838046745,269.5199114176829,0.5798790714995207,0.0,90,240,4,60,4,0.75
oracle,0.90,0.9,0,0.0,,0,,,0.2265059193181318,0.6341268275143312,False,True,0.39090129035617593,0.6781905838046745,269.5199114176829,0.5798790714995207,0.0,90,240,4,60,4,0.75
estimated,0.90,0.9,0,0.0,,0,,,0.2265059193181318,0.6341268275143312,False,True,0.39090129035617593,0.6781905838046745,269.5199114176829,0.5798790714995207,0.0,90,240,4,60,4,0.75
stable,0.90,0.9,0,0.0,,0,,,2.2185603719453484,0.1363601591120528,False,True,-0.9682828588937143,0.4424622094627624,203.1017203448895,0.4917623409137452,0.0,91,240,4,60,4,0.75
oracle,0.90,0.9,0,0.0,,0,,,2.2185603719453484,0.1363601591120528,False,True,-0.9682828588937143,0.4424622094627624,203.1017203448895,0.4917623409137452,0.0,91,240,4,60,4,0.75
estimated,0.90,0.9,0,0.0,,0,,,2.2185603719453484,0.1363601591120528,False,True,-0.9682828588937143,0.4424622094627624,203.1017203448895,0.4917623409137452,0.0,91,240,4,60,4,0.75
stable,0.90,0.9,0,0.0,,0,,,0.8684444960321823,0.35138629808935373,False,True,0.7104594081313843,0.584594802344182,243.70727820611083,0.5829576765857555,0.0,92,240,4,60,4,0.75
oracle,0.90,0.9,0,0.0,,0,,,0.8684444960321823,0.35138629808935373,False,True,0.7104594081313843,0.584594802344182,243.70727820611083,0.5829576765857555,0.0,92,240,4,60,4,0.75
estimated,0.90,0.9,0,0.0,,0,,,0.8684444960321823,0.35138629808935373,False,True,0.7104594081313843,0.584594802344182,243.70727820611083,0.5829576765857555,0.0,92,240,4,60,4,0.75
stable,0.90,0.9,0,0.0,,0,,,0.3833098986643788,0.535837136209077,False,True,0.42186780494499654,0.459789364566101,210.83251084373893,0.5574384628240258,0.0,93,240,4,60,4,0.75
oracle,0.90,0.9,0,0.0,,0,,,0.3833098986643788,0.535837136209077,False,True,0.42186780494499654,0.459789364566101,210.83251084373893,0.5574384628240258,0.0,93,240,4,60,4,0.75
estimated,0.90,0.9,0,0.0,,0,,,0.3833098986643788,0.535837136209077,False,True,0.42186780494499654,0.459789364566101,210.83251084373893,0.5574384628240258,0.0,93,240,4,60,4,0.75
stable,0.90,0.9,0,0.0,,0,,,1.3497814286811403,0.24531633136913522,False,True,-0.8710743623338575,0.568942587918173,237.33989999887496,0.5383925783224626,0.0,94,240,4,60,4,0.75
oracle,0.90,0.9,0,0.0,,0,,,1.3497814286811403,0.24531633136913522,False,True,-0.8710743623338575,0.568942587918173,237.33989999887496,0.5383925783224626,0.0,94,240,4,60,4,0.75
estimated,0.90,0.9,0,0.0,,0,,,1.3497814286811403,0.24531633136913522,False,True,-0.8710743623338575,0.568942587918173,237.33989999887496,0.5383925783224626,0.0,94,240,4,60,4,0.75
stable,0.90,0.9,0,0.0,,0,,,0.9797693207555638,0.32225576378569887,False,True,-0.7112564306912904,0.5222192530769578,252.6453215279903,0.4980911450863253,0.0,95,240,4,60,4,0.75
oracle,0.90,0.9,0,0.0,,0,,,0.9797693207555638,0.32225576378569887,False,True,-0.7112564306912904,0.5222192530769578,252.6453215279903,0.4980911450863253,0.0,95,240,4,60,4,0.75
estimated,0.90,0.9,0,0.0,,0,,,0.9797693207555638,0.32225576378569887,False,True,-0.7112564306912904,0.5222192530769578,252.6453215279903,0.4980911450863253,0.0,95,240,4,60,4,0.75
stable,0.90,0.9,0,0.0,,0,,,0.5355109621125093,0.4642991068754069,False,True,0.6042360221262254,0.690725211704854,255.32788292050674,0.6663458251357632,0.0,96,240,4,60,4,0.75
oracle,0.90,0.9,0,0.0,,0,,,0.5355109621125093,0.4642991068754069,False,True,0.6042360221262254,0.690725211704854,255.32788292050674,0.6663458251357632,0.0,96,240,4,60,4,0.75
estimated,0.90,0.9,0,0.0,,0,,,0.5355109621125093,0.4642991068754069,False,True,0.6042360221262254,0.690725211704854,255.32788292050674,0.6663458251357632,0.0,96,240,4,60,4,0.75
stable,0.90,0.9,0,0.0,,0,,,2.3905588599410903,0.12206998251046564,False,True,1.1465354257874802,0.5582395255039089,235.77700978753694,0.6072102384581373,0.0,97,240,4,60,4,0.75
oracle,0.90,0.9,0,0.0,,0,,,2.3905588599410903,0.12206998251046564,False,True,1.1465354257874802,0.5582395255039089,235.77700978753694,0.6072102384581373,0.0,97,240,4,60,4,0.75
estimated,0.90,0.9,0,0.0,,0,,,2.3905588599410903,0.12206998251046564,False,True,1.1465354257874802,0.5582395255039089,235.77700978753694,0.6072102384581373,0.0,97,240,4,60,4,0.75
stable,0.90,0.9,0,0.0,,0,,,0.1533977399985641,0.695309274875364,False,True,-0.2949912237294447,0.5682121302283426,248.92002335479344,0.5606104390144387,0.0,98,240,4,60,4,0.75
oracle,0.90,0.9,0,0.0,,0,,,0.1533977399985641,0.695309274875364,False,True,-0.2949912237294447,0.5682121302283426,248.92002335479344,0.5606104390144387,0.0,98,240,4,60,4,0.75
estimated,0.90,0.9,0,0.0,,0,,,0.1533977399985641,0.695309274875364,False,True,-0.2949912237294447,0.5682121302283426,248.92002335479344,0.5606104390144387,0.0,98,240,4,60,4,0.75
stable,0.90,0.9,0,0.0,,0,,,0.08258649309201532,0.7738224007355223,False,True,0.21514105642748096,0.5601940213773758,224.56497112505747,0.6184227248078271,0.0,99,240,4,60,4,0.75
oracle,0.90,0.9,0,0.0,,0,,,0.08258649309201532,0.7738224007355223,False,True,0.21514105642748096,0.5601940213773758,224.56497112505747,0.6184227248078271,0.0,99,240,4,60,4,0.75
estimated,0.90,0.9,0,0.0,,0,,,0.08258649309201532,0.7738224007355223,False,True,0.21514105642748096,0.5601940213773758,224.56497112505747,0.6184227248078271,0.0,99,240,4,60,4,0.75
stable,0.90,0.9,0,0.0,,0,,,0.04119084713167842,0.8391699832975343,False,True,0.15367222655394933,0.5735242706498502,248.61240633625206,0.554236764176358,0.0,100,240,4,60,4,0.75
oracle,0.90,0.9,0,0.0,,0,,,0.04119084713167842,0.8391699832975343,False,True,0.15367222655394933,0.5735242706498502,248.61240633625206,0.554236764176358,0.0,100,240,4,60,4,0.75
estimated,0.90,0.9,0,0.0,,0,,,0.04119084713167842,0.8391699832975343,False,True,0.15367222655394933,0.5735242706498502,248.61240633625206,0.554236764176358,0.0,100,240,4,60,4,0.75
stable,0.90,0.9,0,0.0,,0,,,0.08243135099315224,0.7740291636940357,False,True,-0.19945888373883874,0.4825108249899093,234.97156870977634,0.49846758261955343,0.0,101,240,4,60,4,0.75
oracle,0.90,0.9,0,0.0,,0,,,0.08243135099315224,0.7740291636940357,False,True,-0.19945888373883874,0.4825108249899093,234.97156870977634,0.49846758261955343,0.0,101,240,4,60,4,0.75
estimated,0.90,0.9,0,0.0,,0,,,0.08243135099315224,0.7740291636940357,False,True,-0.19945888373883874,0.4825108249899093,234.97156870977634,0.49846758261955343,0.0,101,240,4,60,4,0.75
stable,0.90,0.9,0,0.0,,0,,,1.6367851503436628,0.20076712956346987,False,True,-0.925422010645487,0.5376371715917804,227.28382543726465,0.5451913774304048,0.0,102,240,4,60,4,0.75
oracle,0.90,0.9,0,0.0,,0,,,1.6367851503436628,0.20076712956346987,False,True,-0.925422010645487,0.5376371715917804,227.28382543726465,0.5451913774304048,0.0,102,240,4,60,4,0.75
estimated,0.90,0.9,0,0.0,,0,,,1.6367851503436628,0.20076712956346987,False,True,-0.925422010645487,0.5376371715917804,227.28382543726465,0.5451913774304048,0.0,102,240,4,60,4,0.75
stable,0.90,0.9,0,0.0,,1,140.0,,0.010046649649255696,0.9201593660898338,False,True,-0.07504311221227009,0.5606588847639901,233.0039585191285,0.574089695662026,-0.05961623083059589,103,240,4,60,4,0.75
