method,rho_label,rho,q0,delta,true_break,qhat,estimated_break,break_abs_error,el_stat,p_value,reject_5,feasible,score,score_variance,rss,strength,score_gap_stable_minus_estimated,rep,T,K,min_size,grid_step,penalty
oracle,0.50,0.5,0,0.0,,0,,,0.3983934179134467,0.5279201311848882,False,True,0.3431748699641591,0.2954873915752085,216.07616768006216,0.3171669408608822,0.0,10,240,4,60,4,0.75
estimated,0.50,0.5,0,0.0,,0,,,0.3983934179134467,0.5279201311848882,False,True,0.3431748699641591,0.2954873915752085,216.07616768006216,0.3171669408608822,0.0,10,240,4,60,4,0.75
stable,0.50,0.5,0,0.0,,0,,,0.10880051025461052,0.7415138918673405,False,True,0.20444226778255686,0.3829354163751554,269.1185899410798,0.3436654949485875,0.0,11,240,4,60,4,0.75
oracle,0.50,0.5,0,0.0,,0,,,0.10880051025461052,0.7415138918673405,False,True,0.20444226778255686,0.3829354163751554,269.1185899410798,0.3436654949485875,0.0,11,240,4,60,4,0.75
estimated,0.50,0.5,0,0.0,,0,,,0.10880051025461052,0.7415138918673405,False,True,0.20444226778255686,0.3829354163751554,269.1185899410798,0.3436654949485875,0.0,11,240,4,60,4,0.75
stable,0.50,0.5,0,0.0,,0,,,0.0008223724040269283,0.9771221713084443,False,True,0.017984179289007383,0.3933290079930277,254.72342467121467,0.3905947062597236,0.0,12,240,4,60,4,0.75
oracle,0.50,0.5,0,0.0,,0,,,0.0008223724040269283,0.9771221713084443,False,True,0.017984179289007383,0.3933290079930277,254.72342467121467,0.3905947062597236,0.0,12,240,4,60,4,0.75
estimated,0.50,0.5,0,0.0,,0,,,0.0008223724040269283,0.9771221713084443,False,True,0.017984179289007383,0.3933290079930277,254.72342467121467,0.3905947062597236,0.0,12,240,4,60,4,0.75
stable,0.50,0.5,0,0.0,,0,,,9.514854925292024,0.002038152176225716,True,True,1.6616590580559003,0.30292825632153,224.5188877788049,0.34997803351740053,0.0,13,240,4,60,4,0.75
oracle,0.50,0.5,0,0.0,,0,,,9.514854925292024,0.002038152176225716,True,True,1.6616590580559003,0.30292825632153,224.5188877788049,0.34997803351740053,0.0,13,240,4,60,4,0.75
estimated,0.50,0.5,0,0.0,,0,,,9.514854925292024,0.002038152176225716,True,True,1.6616590580559003,0.30292825632153,224.5188877788049,0.34997803351740053,0.0,13,240,4,60,4,0.75
stable,0.50,0.5,0,0.0,,0,,,1.0120360598442688,0.314415555754733,False,True,0.5452854322077098,0.2969285337789607,242.89321988634075,0.32006469509138696,0.0,14,240,4,60,4,0.75
oracle,0.50,0.5,0,0.0,,0,,,1.0120360598442688,0.314415555754733,False,True,0.5452854322077098,0.2969285337789607,242.89321988634075,0.32006469509138696,0.0,14,240,4,60,4,0.75
estimated,0.50,0.5,0,0.0,,0,,,1.0120360598442688,0.314415555754733,False,True,0.5452854322077098,0.2969285337789607,242.89321988634075,0.32006469509138696,0.0,14,240,4,60,4,0.75
stable,0.50,0.5,0,0.0,,0,,,2.4420168508681437,0.11812426158627887,False,True,1.0072030187789982,0.42329982969472024,259.44230060718166,0.3824871453446687,0.0,15,240,4,60,4,0.75
oracle,0.50,0.5,0,0.0,,0,,,2.4420168508681437,0.11812426158627887,False,True,1.0072030187789982,0.42329982969472024,259.44230060718166,0.3824871453446687,0.0,15,240,4,60,4,0.75
estimated,0.50,0.5,0,0.0,,0,,,2.4420168508681437,0.11812426158627887,False,True,1.0072030187789982,0.42329982969472024,259.44230060718166,0.3824871453446687,0.0,15,240,4,60,4,0.75
stable,0.50,0.5,0,0.0,,0,,,0.09509425258410382,0.7577980982754772,False,True,0.17646756414298873,0.32572991844576243,224.40808534293092,0.33857690834360443,0.0,16,240,4,60,4,0.75
oracle,0.50,0.5,0,0.0,,0,,,0.09509425258410382,0.7577980982754772,False,True,0.17646756414298873,0.32572991844576243,224.40808534293092,0.33857690834360443,0.0,16,240,4,60,4,0.75
estimated,0.50,0.5,0,0.0,,0,,,0.09509425258410382,0.7577980982754772,False,True,0.17646756414298873,0.32572991844576243,224.40808534293092,0.33857690834360443,0.0,16,240,4,60,4,0.75
stable,0.50,0.5,0,0.0,,1,176.0,,1.3762531709840036,0.24074040104128513,False,True,-0.6369851628981306,0.2879164010133177,215.4393063745265,0.3348887521459707,0.10995710702634309,17,240,4,60,4,0.75
oracle,0.50,0.5,0,0.0,,1,176.0,,1.3762531709840036,0.24074040104128513,False,True,-0.6369851628981306,0.2879164010133177,215.4393063745265,0.3348887521459707,0.10995710702634309,17,240,4,60,4,0.75
estimated,0.50,0.5,0,0.0,,1,176.0,,1.8568456185344813,0.17298930297293236,False,True,-0.7469422699244737,0.29326112931494774,198.20041099801028,0.31530965047755866,0.10995710702634309,17,240,4,60,4,0.75
stable,0.50,0.5,0,0.0,,0,,,0.14665573475069216,0.7017519656583684,False,True,0.2569189828743998,0.449992269163472,270.1591020660128,0.3993256196605008,0.0,18,240,4,60,4,0.75
oracle,0.50,0.5,0,0.0,,0,,,0.14665573475069216,0.7017519656583684,False,True,0.2569189828743998,0.449992269163472,270.1591020660128,0.3993256196605008,0.0,18,240,4,60,4,0.75
estimated,0.50,0.5,0,0.0,,0,,,0.14665573475069216,0.7017519656583684,False,True,0.2569189828743998,0.449992269163472,270.1591020660128,0.3993256196605008,0.0,18,240,4,60,4,0.75
stable,0.50,0.5,0,0.0,,0,,,0.6807963366959091,0.40931264328386463,False,True,0.44084500205291105,0.27987294745710173,242.63974013889026,0.3237429807522499,0.0,19,240,4,60,4,0.75
oracle,0.50,0.5,0,0.0,,0,,,0.6807963366959091,0.40931264328386463,False,True,0.44084500205291105,0.27987294745710173,242.63974013889026,0.3237429807522499,0.0,19,240,4,60,4,0.75
estimated,0.50,0.5,0,0.0,,0,,,0.6807963366959091,0.40931264328386463,False,True,0.44084500205291105,0.27987294745710173,242.63974013889026,0.3237429807522499,0.0,19,240,4,60,4,0.75
stable,0.50,0.5,0,0.0,,0,,,2.2806347323362814,0.13099825224996742,False,True,-0.8910957041033399,0.34508622486797147,258.9397739206217,0.3464307121102473,0.0,20,240,4,60,4,0.75
oracle,0.50,0.5,0,0.0,,0,,,2.2806347323362814,0.13099825224996742,False,True,-0.8910957041033399,0.34508622486797147,258.9397739206217,0.3464307121102473,0.0,20,240,4,60,4,0.75
estimated,0.50,0.5,0,0.0,,0,,,2.2806347323362814,0.13099825224996742,False,True,-0.8910957041033399,0.34508622486797147,258.9397739206217,0.3464307121102473,0.0,20,240,4,60,4,0.75
stable,0.50,0.5,0,0.0,,0,,,0.006100110606549115,0.9377459578892584,False,True,-0.04972673002736119,0.404972618879788,234.26077826086552,0.3722062954522853,0.0,21,240,4,60,4,0.75
oracle,0.50,0.5,0,0.0,,0,,,0.006100110606549115,0.9377459578892584,False,True,-0.04972673002736119,0.404972618879788,234.26077826086552,0.3722062954522853,0.0,21,240,4,60,4,0.75
estimated,0.50,0.5,0,0.0,,0,,,0.006100110606549115,0.9377459578892584,False,True,-0.04972673002736119,0.404972618879788,234.26077826086552,0.3722062954522853,0.0,21,240,4,60,4,0.75
stable,0.50,0.5,0,0.0,,1,88.0,,0.0021378870803825598,0.9631211203140051,False,True,0.027128015954062296,0.3441757735940483,226.2555641386694,0.36284764522493884,0.29225503659804625,22,240,4,60,4,0.75
oracle,0.50,0.5,0,0.0,,1,88.0,,0.0021378870803825598,0.9631211203140051,False,True,0.027128015954062296,0.3441757735940483,226.2555641386694,0.36284764522493884,0.29225503659804625,22,240,4,60,4,0.75
estimated,0.50,0.5,0,0.0,,1,88.0,,0.2236601246677311,0.6362651274861875,False,True,-0.26512702064398397,0.3159203137575577,209.46289744209272,0.3445757136090396,0.29225503659804625,22,240,4,60,4,0.75
stable,0.50,0.5,0,0.0,,0,,,1.3240950646310274,0.2498584349499945,False,True,-0.6406749906906148,0.31554418864551664,203.76670640109856,0.3807356321578119,0.0,23,240,4,60,4,0.75
oracle,0.50,0.5,0,0.0,,0,,,1.3240950646310274,0.2498584349499945,False,True,-0.6406749906906148,0.31554418864551664,203.76670640109856,0.3807356321578119,0.0,23,240,4,60,4,0.75
estimated,0.50,0.5,0,0.0,,0,,,1.3240950646310274,0.2498584349499945,False,True,-0.6406749906906148,0.31554418864551664,203.76670640109856,0.3807356321578119,0.0,23,240,4,60,4,0.75
stable,0.50,0.5,0,0.0,,0,,,0.0006260053075030775,0.9800389326831194,False,True,-0.015136905130047567,0.36604743227330744,254.38540056872176,0.3282269063891598,0.0,24,240,4,60,4,0.75
oracle,0.50,0.5,0,0.0,,0,,,0.0006260053075030775,0.9800389326831194,False,True,-0.015136905130047567,0.36604743227330744,254.38540056872176,0.3282269063891598,0.0,24,240,4,60,4,0.75
