T,rho_label,rho_value,K,weight_b,method,n,rejection_rate_5,feasible_rate,mean_el_stat,median_el_stat,mean_RE,mean_oracle_var
250,local_to_unity,0.98,6,8.0,oracle_bounded,1000,0.067,1.0,1.1646371501123713,0.5186701777847247,0.9783555854943519,0.14734146909744478
250,local_to_unity,0.98,6,8.0,profile_bounded,1000,0.069,1.0,1.1892595082204078,0.5358920488631658,0.9783555854943519,0.14734146909744478
250,local_to_unity,0.98,6,8.0,profile_efficient,1000,0.068,1.0,1.2016638563465563,0.5513826907974202,1.0,
250,stationary_high,0.95,6,8.0,oracle_bounded,1000,0.08,1.0,1.2074916837033645,0.5779595025305764,0.9933251828673637,0.09572019879217974
250,stationary_high,0.95,6,8.0,profile_bounded,1000,0.081,1.0,1.23106832058643,0.5863663414644606,0.9933251828673637,0.09572019879217974
250,stationary_high,0.95,6,8.0,profile_efficient,1000,0.082,1.0,1.2462349161096578,0.5921773225775937,1.0,
250,unit_root,1.0,6,8.0,oracle_bounded,1000,0.113,1.0,1.5127053152014522,0.7240643320443111,0.8807852560889644,0.15857243509956837
250,unit_root,1.0,6,8.0,profile_bounded,1000,0.113,1.0,1.5531711037562135,0.7368663771249058,0.8807852560889644,0.15857243509956837
250,unit_root,1.0,6,8.0,profile_efficient,1000,0.117,1.0,1.595675113167891,0.8179956735996394,1.0,
