T,basis,rho,phi,batches,iterations_per_batch,K,valid_replications,size_5,size_5_error_abs,mean,mean_error_abs,var,var_error_abs,q95,q95_error_abs,ks_stat,ks_p,bound_region
2000,legendre,0.99,0.5,50,40,2,2000,0.063,0.012999999999999998,1.0784379918517883,0.07843799185178835,2.274642739061581,0.2746427390615809,4.1633738443882535,0.3219150236941295,0.02644097328590278,0.11987311227420039,below_lower_bound
2000,legendre,0.99,0.5,50,40,4,2000,0.0485,0.0015000000000000013,1.0411583473062054,0.04115834730620538,2.035000117855783,0.03500011785578305,3.7533538678004907,0.08810495289363329,0.029235804351337102,0.06421111487637499,below_lower_bound
2000,legendre,0.99,0.5,50,40,6,2000,0.0475,0.0025000000000000022,1.002524865461483,0.0025248654614828947,2.109168125602833,0.10916812560283295,3.7770723015899,0.06438651910422388,0.017505252524107118,0.5661681896494934,below_lower_bound
2000,legendre,0.99,0.5,50,40,8,2000,0.0665,0.0165,1.1144784092300366,0.1144784092300366,2.5840759637134534,0.5840759637134534,4.426874058637685,0.5854152379435607,0.028692786395740244,0.0728484650938398,inside_window
2000,legendre,0.99,0.5,50,40,10,2000,0.0555,0.005499999999999998,1.0188953355958612,0.018895335595861207,2.098516714805944,0.09851671480594382,3.9812160404765344,0.1397572197824104,0.01641210567482221,0.6479649478468255,inside_window
2000,legendre,0.99,0.5,50,40,13,2000,0.043,0.007000000000000006,0.9965624870758333,0.003437512924166719,1.90232969424742,0.09767030575258007,3.617877349926351,0.22358147076777302,0.015403394254217634,0.7236071866893644,inside_window
2000,legendre,0.99,0.5,50,40,16,2000,0.054,0.003999999999999997,1.0374010629441932,0.03740106294419321,2.085343940259137,0.08534394025913716,3.945513516914562,0.10405469622043784,0.02529976566628539,0.15189723774390607,inside_window
2000,legendre,0.99,0.5,50,40,20,2000,0.053,0.0029999999999999957,1.0062128356403703,0.00621283564037034,2.1408838726311417,0.14088387263114166,3.9108955141543467,0.06943669346022263,0.014562872159796403,0.7843033596646587,inside_window
2000,legendre,0.99,0.5,50,40,28,2000,0.0515,0.0014999999999999944,1.018104677835496,0.018104677835496075,2.15726434674121,0.15726434674121004,3.902320211212562,0.060861390518438085,0.01293581622585338,0.8869631360151691,inside_window
2000,legendre,0.99,0.5,50,40,36,2000,0.057,0.006999999999999999,1.0594003215648764,0.0594003215648764,2.2877921362952267,0.2877921362952267,3.967903251421412,0.12644443072728784,0.020264095640507462,0.379146268240626,inside_window
2000,legendre,0.99,0.5,50,40,44,2000,0.06,0.009999999999999995,1.0692089237343394,0.0692089237343394,2.2304449427603346,0.23044494276033456,4.12272782094743,0.28126900025330626,0.02420706249832505,0.18866086220941503,inside_window
2000,legendre,0.99,0.5,50,40,60,2000,0.0565,0.006499999999999999,1.0355919496604542,0.0355919496604542,2.349175552577307,0.3491755525773068,3.992523669966495,0.15106484927237096,0.01284346190613668,0.8919464798063769,above_upper_bound
2000,legendre,0.99,0.5,50,40,80,2000,0.0615,0.011499999999999996,1.0649647635803043,0.06496476358030434,2.2394644077875223,0.23946440778752232,4.146640457152595,0.3051816364584714,0.021095889813887214,0.3309990164185098,above_upper_bound
