T,basis,rho,phi,batches,iterations_per_batch,K,valid_replications,size_5,size_5_error_abs,mean,mean_error_abs,var,var_error_abs,q95,q95_error_abs,ks_stat,ks_p,bound_region
100,legendre,0.99,0.5,2,3,2,6,0.0,0.05,1.0031481363303343,0.0031481363303342835,1.9577337673991724,0.042266232600827625,3.0126318027810806,0.8288270179130435,0.2670551599085318,0.6980124387492899,below_lower_bound
100,legendre,0.99,0.5,2,3,4,6,0.16666666666666666,0.11666666666666665,1.2331801051452385,0.23318010514523846,6.344352093067477,4.344352093067477,4.887437317778475,1.0459784970843509,0.32836249441929244,0.44131632445794045,inside_window
100,legendre,0.99,0.5,2,3,6,6,0.3333333333333333,0.2833333333333333,3.051953253008105,2.051953253008105,19.906733433670865,17.906733433670865,9.682602353057659,5.841143532363535,0.31746832758798993,0.48293760771301475,inside_window
