date,equity_premium,market_return,risk_free,dp,dy,ep,de,bm,tbl,lty,ntis,infl,ltr,corpr,svar,dfy,tms,dfr
1871-01-31,,,,-2.837728024410743,,-2.4069451083182885,-0.4307829160924542,,,,,,,,,,,
1871-02-28,,,0.004967421451620109,-2.8511510447428834,-2.837728024410743,-2.4203681286504293,-0.4307829160924542,,,,,,,,,,,
1871-03-31,,,0.004524663161801005,-2.8753015049751665,-2.8511510447428834,-2.4445185888827123,-0.4307829160924542,,,,,,,,,,,
1871-04-30,,,0.004251628883079224,-2.9031107836735943,-2.8753015049751665,-2.47232786758114,-0.4307829160924542,,,,,,,,,,,
1871-05-31,,,0.004642732039086099,-2.928112085879012,-2.9031107836735943,-2.4973291697865574,-0.4307829160924542,,,,,,,,,,,
1871-06-30,,,0.003698181020805343,-2.9198475760291185,-2.928112085879012,-2.489064659936664,-0.4307829160924542,,,,,,,,,,,
1871-07-31,,,0.0033734916082713328,-2.900998850470451,-2.9198475760291185,-2.470215934377997,-0.4307829160924542,,,,,,,,,,,
1871-08-31,,,0.0032554227309862386,-2.9136040593894332,-2.900998850470451,-2.4828211432969787,-0.4307829160924542,,,,,,,,,,,
1871-09-30,,,0.0037129396304659795,-2.9239883686951496,-2.9136040593894332,-2.4932054526026954,-0.4307829160924542,,,,,,,,,,,
1871-10-31,,,0.004554180381122278,-2.8709536720390627,-2.9239883686951496,-2.4401707559466086,-0.4307829160924542,,,,,,,,,,,
1871-11-30,,,0.00704100610893958,-2.881788014204773,-2.8709536720390627,-2.451005098112319,-0.4307829160924542,,,,,,,,,,,
1871-12-31,,,0.006487558246665701,-2.9031107836735943,-2.881788014204773,-2.47232786758114,-0.4307829160924542,,,,,,,,,,,
1872-01-31,,,0.006974592365466716,-2.9154996503922757,-2.8904983481868585,-2.4910986200359213,-0.42440103035635446,,,,,,,,,,,
1872-02-29,,,0.0057643863732944976,-2.9067760676592242,-2.902669285706571,-2.489013431740654,-0.41776263591857066,,,,,,,,,,,
1872-03-31,,,0.005218317815850935,-2.9267394020670396,-2.894478539848818,-2.515120428384497,-0.4116189736825425,,,,,,,,,,,
1872-04-30,,,0.006000524127864685,-2.9419902423195063,-2.914591268131392,-2.5364031755551752,-0.4055870667643311,,,,,,,,,,,
1872-05-31,,,0.00603004134718596,-2.9296264484606485,-2.9296264484606485,-2.5303241294787933,-0.3993023189818554,,,,,,,,,,,
1872-06-30,,,0.004952662841959472,-2.9080713349955656,-2.917770732084279,-2.514582417934117,-0.3934889170614485,,,,,,,,,,,
1872-07-31,,,0.0040671462623212635,-2.8904894118759463,-2.8963545313283445,-2.502711274421507,-0.38777813745443934,,,,,,,,,,,
1872-08-31,,,0.0043992149796855924,-2.86672498817609,-2.878559445823093,-2.4849066497880004,-0.3818183383880899,,,,,,,,,,,
1872-09-30,,,0.005218317815850935,-2.8372619325822166,-2.8552804380848946,-2.4609534087655076,-0.3763085238167089,,,,,,,,,,,
1872-10-31,,,0.007018868194448627,-2.829979143107269,-2.8259468795793303,-2.4590859501662576,-0.3708931929410114,,,,,,,,,,,
1872-11-30,,,0.0076092125808741,-2.8144213282659596,-2.818453591793898,-2.4491885671859213,-0.36523276108003866,,,,,,,,,,,
1872-12-31,,,0.008214315576960209,-2.827313621929028,-2.8033603809065353,-2.4673108878976207,-0.36000273403140715,,,,,,,,,,,
1873-01-31,,,0.007631350495365054,-2.826873405726854,-2.819014819114333,-2.469372356825816,-0.35750104890103795,,,,,,,,,,,
1873-02-28,,,0.006487558246665701,-2.8264402170503704,-2.8186429065903384,-2.4714059625690976,-0.35503425448127246,,,,,,,,,,,
1873-03-31,,,0.006561351294968885,-2.8104795959511772,-2.818276906411209,-2.4578779774000807,-0.3526016185510965,,,,,,,,,,,
1873-04-30,,,0.007107419852412446,-2.7885890635862225,-2.802382385718558,-2.4383866341531073,-0.35020242943311486,,,,,,,,,,,
1873-05-31,,,0.008051970870693204,-2.7825390530929495,-2.780556891888958,-2.4347030578214213,-0.347835995271528,,,,,,,,,,,
1873-06-30,,,0.005631558886348765,-2.7606125311930656,-2.774570883443772,-2.4151108878524585,-0.3455016433406072,,,,,,,,,,,
1873-07-31,,,0.004679628563237692,-2.750697300757928,-2.7527073516859524,-2.4074985813757643,-0.34319871938216373,,,,,,,,,,,
