DATE,PRCP_anom_mean,TAVG_anom_mean,PRCP_anom_std,TAVG_anom_std,N_stations
1990-01-01,0.0,-2.4000000000000057,0.0,0.0,1
1990-01-02,0.0,-1.3548387096774235,0.0,0.0,1
1990-01-03,0.0,-0.53125,0.0,0.0,1
1990-01-04,0.0,-1.4848484848484844,0.0,0.0,1
1990-01-05,0.0,-4.0625,0.0,0.0,1
1990-01-06,0.0,0.2666666666666657,0.0,0.0,1
1990-01-07,-0.035333333333333335,-0.7999999999999972,0.0,0.0,1
1990-01-08,0.0,-0.23333333333333428,0.0,0.0,1
1990-01-09,-0.016206896551724137,-3.3103448275862064,0.0,0.0,1
1990-01-10,-0.006153846153846154,-1.7564102564102555,0.00870285269152674,1.5411301641245185,2
1990-01-11,0.0,0.44827586206896797,0.0,0.0,1
1990-01-12,-0.0013793103448275863,-1.9655172413793167,0.0,0.0,1
1990-01-13,-0.0013793103448275863,-1.8275862068965552,0.0,0.0,1
1990-01-14,0.0,0.7333333333333343,0.0,0.0,1
1990-01-15,0.0,-2.8620689655172384,0.0,0.0,1
1990-01-16,-0.03,-1.5172413793103487,0.0,0.0,1
1990-01-17,0.0,-0.7741935483871032,0.0,0.0,1
1990-01-18,0.0,2.392857142857139,0.0,0.0,1
1990-01-19,-0.018076923076923077,-0.9217032967032992,0.025564629781359795,1.960084456640727,2
1990-01-20,0.0,1.53125,0.0,0.0,1
1990-01-21,-0.0628125,0.25,0.0,0.0,1
1990-01-22,0.3778125,0.3125,0.0,0.0,1
1990-01-24,-0.0075,-2.4791666666666643,0.010606601717798213,1.6204530402191748,2
1990-01-25,0.0,-4.53125,0.0,0.0,1
1990-01-26,0.0,-2.375,0.0,0.0,1
1990-01-27,0.0,-0.7419354838709609,0.0,0.0,1
1990-01-28,-0.004137931034482759,-1.4827586206896513,0.0,0.0,1
1990-01-29,-0.029285714285714286,-1.6071428571428612,0.0,0.0,1
1990-01-30,-0.004285714285714286,-1.1785714285714306,0.0,0.0,1
1990-01-31,0.0,-1.9259259259259238,0.0,0.0,1
1990-02-01,-0.04620689655172414,-0.06896551724138078,0.0,0.0,1
1990-02-02,0.0,-0.4000000000000057,0.0,0.0,1
1990-02-03,-0.0013793103448275863,-2.514106583072099,0.001950639396376683,0.0443327135540192,2
1990-02-04,0.0,-0.518518518518519,0.0,0.0,1
1990-02-05,-0.0026666666666666666,-0.63333333333334,0.0,0.0,1
1990-02-06,0.0,0.5,0.0,0.0,1
1990-02-07,-0.07233333333333333,-0.8333333333333286,0.0,0.0,1
1990-02-08,-0.06833333333333333,-2.5,0.0,0.0,1
1990-02-09,0.0,-2.785714285714292,0.0,0.0,1
1990-02-10,0.0,-4.36666666666666,0.0,0.0,1
1990-02-11,-0.03785714285714286,1.4285714285714306,0.0,0.0,1
1990-02-12,-0.017142857142857144,1.1071428571428612,0.0,0.0,1
1990-02-13,0.0,-1.8620689655172384,0.0,0.0,1
1990-02-14,-0.03666666666666667,-2.6666666666666714,0.0,0.0,1
1990-02-15,-0.016206896551724137,0.3793103448275872,0.0,0.0,1
1990-02-16,-0.003870967741935484,2.6129032258064484,0.0,0.0,1
1990-02-17,-0.13383333333333333,-2.285483870967743,0.22263242002108416,2.164445818770551,3
1990-02-18,0.009666666666666667,-0.7000000000000028,0.0,0.0,1
1990-02-19,0.4465517241379311,-7.910344827586208,0.7119833796774893,1.8238478356122012,2
1990-02-20,0.1917241379310345,-7.517241379310349,0.0,0.0,1
1990-02-21,-0.0146875,-2.09375,0.0,0.0,1
1990-02-22,-0.022333333333333334,-2.1666666666666714,0.0,0.0,1
1990-02-23,-0.09733333333333333,-2.566666666666663,0.0,0.0,1
1990-02-24,0.2698079877112135,-6.178955453149001,0.43422914378912264,4.236851882272104,3
1990-02-25,-0.008,-0.5666666666666629,0.0,0.0,1
1990-02-26,-0.12466666666666668,0.9666666666666686,0.0,0.0,1
1990-02-27,-0.0006451612903225806,0.8709677419354875,0.0,0.0,1
1990-02-28,-0.0009375,-1.0625,0.0,0.0,1
1990-03-01,-0.05614583333333333,-3.047619047619046,0.07284959713054927,3.1160756924517123,3
1990-03-02,-0.04451612903225806,-1.0,0.0,0.0,1
1990-03-03,-0.07354838709677419,-2.258064516129039,0.0,0.0,1
1990-03-04,0.0,-0.12903225806451246,0.0,0.0,1
1990-03-05,0.0,0.7878787878787818,0.0,0.0,1
1990-03-06,0.0,2.53125,0.0,0.0,1
1990-03-07,-0.10727272727272727,-0.4242424242424221,0.0,0.0,1
1990-03-08,0.0,0.25,0.0,0.0,1
1990-03-09,-0.0788235294117647,1.17647058823529,0.0,0.0,1
1990-03-10,0.0,3.1875,0.0,0.0,1
1990-03-11,-0.06806451612903225,2.8387096774193594,0.0,0.0,1
1990-03-12,-0.14388736263736263,1.1153846153846168,0.06811436876473516,1.2565410711595726,4
1990-03-13,-0.0064516129032258064,0.7419354838709609,0.0,0.0,1
1990-03-14,-0.0075,0.84375,0.0,0.0,1
1990-03-15,-0.05666666666666667,3.0606060606060623,0.0,0.0,1
1990-03-16,-0.04540441176470588,1.907169117647058,0.011802444068334288,0.6174186048963433,2
1990-03-17,-0.007833333333333333,3.5531250000000014,0.004006938426723769,2.329032960533193,2
1990-03-18,-0.0033333333333333335,1.0303030303030312,0.0,0.0,1
1990-03-19,-0.0921875,-3.1875,0.0,0.0,1
1990-03-20,-0.0064516129032258064,1.9354838709677438,0.0,0.0,1
1990-03-21,-0.057812499999999996,-0.0625,0.0,0.0,1
1990-03-22,-0.059062500000000004,-1.65625,0.0,0.0,1
