date,PRCP_anom_mean,TAVG_anom_mean,PRCP_anom_std,TAVG_anom_std,N_stations,log_price,log_price_lagt,log_return,log_return_forecast_target
1994-10-04,0.0,0.25,0.0,0.0,1,7.287752140440255,7.290456579825076,-0.0027044393848205672,-0.021923895208134425
1994-10-05,0.0925,0.0,0.13788582233137678,2.8284271247461903,2,7.265828245232121,7.287752140440255,-0.021923895208134425,-0.00017477078855598904
1994-10-06,0.004,-0.3999999999999986,0.00565685424949238,0.565685424949236,2,7.265653474443565,7.265828245232121,-0.00017477078855598904,-0.009737394188018555
1994-10-07,-0.0284,0.4599999999999994,0.377150898182677,1.3069047402163632,5,7.255916080255546,7.265653474443565,-0.009737394188018555,-0.0019291996980497217
1994-10-10,-0.4325,-4.0,0.0,0.0,1,7.2539868805574965,7.255916080255546,-0.0019291996980497217,0.00014853218401444934
1994-10-11,-0.016,-1.0,0.0,0.0,1,7.254135412741511,7.2539868805574965,0.00014853218401444934,-0.0016492368056697515
1994-10-12,0.2466,-1.1400000000000006,0.3849841555181201,1.5805062480104288,5,7.252486175935841,7.254135412741511,-0.0016492368056697515,0.0005453277235982767
1994-10-13,-0.01,-0.5,0.0,0.0,1,7.2530315036594395,7.252486175935841,0.0005453277235982767,0.0022066008925145653
1994-10-14,-0.0013888888888888892,0.7777777777777786,0.009911646721949928,1.1567034896476118,6,7.255238104551954,7.2530315036594395,0.0022066008925145653,-0.00030577195765779663
1994-10-21,0.01518518518518519,0.2703703703703692,0.07606852011894553,0.9396282427470455,9,7.29401038415761,7.294316156115268,-0.00030577195765779663,-0.007996767505525249
1994-10-24,-0.008,1.0,0.0,0.0,1,7.286013616652085,7.29401038415761,-0.007996767505525249,0.0007806562016945406
1994-10-25,0.17133333333333334,-2.5111111111111106,0.310717449354447,1.6279958139904285,3,7.286794272853779,7.286013616652085,0.0007806562016945406,0.010967239173976573
1994-10-26,0.0,1.5,0.0,0.0,1,7.297761512027756,7.286794272853779,0.010967239173976573,0.01355038839319711
1994-10-27,0.004285714285714286,-0.07142857142857142,0.011338934190276815,0.18898223650461363,7,7.311311900420953,7.297761512027756,0.01355038839319711,-0.011433455868604447
1994-10-28,0.0,0.14285714285714285,0.0,0.37796447300922725,7,7.299878444552348,7.311311900420953,-0.011433455868604447,0.0013368354105205427
1994-10-31,0.0,0.75,0.0,0.0,1,7.301215279962869,7.299878444552348,0.0013368354105205427,-0.011877833335899979
1994-11-01,0.065,0.5299999999999997,0.1501110699893027,0.7874713398664811,10,7.289337446626969,7.301215279962869,-0.011877833335899979,-0.0018315273766580376
1994-11-02,-0.15,1.4000000000000057,0.0,0.0,1,7.287505919250311,7.289337446626969,-0.0018315273766580376,-0.0052740893475471395
1994-11-03,0.0,0.5,0.0,1.0,6,7.282231829902764,7.287505919250311,-0.0052740893475471395,-0.003471771264467627
1994-11-04,0.0,0.0,0.0,0.0,2,7.278760058638296,7.282231829902764,-0.003471771264467627,-0.0157808879847412
1994-11-07,0.0,-3.400000000000001,0.0,2.7712812921102024,3,7.262979170653555,7.278760058638296,-0.0157808879847412,0.004322924491741986
