x,w,n,std_beta,std_p,rho_hat,sieve_p,adaptive_p,adaptive_q,adaptive_breaks,pattern_score
dfr,svar,1199,0.001366237888272306,0.379573518976969,-0.10287447063520125,0.6326065655732975,0.6326065655732975,0,,0.06325826164908213
dy,ep,1200,0.0028931327695671783,0.062426275066895846,0.9954074381994035,0.30466763484266834,0.30466763484266834,0,,0.06056033994394312
dp,svar,1200,0.002503911357010812,0.10689814613007097,0.9954066876980087,0.3453835851283691,0.3453835851283691,0,,0.059621359749574526
dfy,bm,1200,0.0026104702211980552,0.09276545952575627,0.9750201479813873,0.32022837983738717,0.32022837983738717,0,,0.056865730077907725
dy,svar,1200,0.0028931327695671783,0.062426275066895846,0.9954074381994035,0.285882057111861,0.285882057111861,0,,0.055863945511241284
tbl,bm,1200,-0.0029379674225502596,0.05846786977070826,0.9931173574233663,0.2797967023815239,0.2797967023815239,0,,0.055332208152703906
tbl,tms,1200,-0.0029379674225502596,0.05846786977070826,0.9931173574233663,0.2654640266318602,0.2654640266318602,0,,0.051749039215287986
svar,infl,1200,0.0008553226944168302,0.5819855446063865,0.5742870656942524,0.7720138196791251,0.7720138196791251,0,,0.04750706876818464
dfr,bm,1199,0.001366237888272306,0.379573518976969,-0.10287447063520125,0.5661467972936,0.5661467972936,0,,0.04664331957915774
dp,tbl,1200,0.002503911357010812,0.10689814613007097,0.9954066876980087,0.28459459801545095,0.28459459801545095,0,,0.04442411297134499
svar,ntis,1188,0.0008417467114760247,0.5910292635357302,0.5743518930396392,0.7678002456409034,0.7678002456409034,0,,0.04419274552629332
svar,ep,1200,0.0008553226944168302,0.5819855446063865,0.5742870656942524,0.75552328759301,0.75552328759301,0,,0.043384435746655875
dy,tbl,1200,0.0028931327695671783,0.062426275066895846,0.9954074381994035,0.23519558654740502,0.23519558654740502,0,,0.04319232787012729
dp,ep,1200,0.002503911357010812,0.10689814613007097,0.9954066876980087,0.23929528584663218,0.23929528584663218,0,,0.0330992849291403
tms,ntis,1188,0.0016677984533826629,0.28693893875439563,0.9647593272675328,0.4105847051798267,0.4105847051798267,0,,0.030911441606357767
infl,bm,1200,-0.0028631358104519323,0.0651963416465979,0.4832603800920853,0.17598854270539022,0.17598854270539022,0,,0.027698050264698078
dy,infl,1200,0.0028931327695671783,0.062426275066895846,0.9954074381994035,0.15554868367794983,0.15554868367794983,0,,0.023280602152763494
tbl,infl,1200,-0.0029379674225502596,0.05846786977070826,0.9931173574233663,0.1436190140646374,0.1436190140646374,0,,0.021287786073482286
dp,infl,1200,0.002503911357010812,0.10689814613007097,0.9954066876980087,0.18889239567215865,0.18889239567215865,0,,0.02049856238552192
tbl,ntis,1188,-0.002944700670059549,0.05995908268198992,0.9931337554470755,0.14013153190911698,0.14013153190911698,0,,0.020043112306781765
tbl,svar,1200,-0.0029379674225502596,0.05846786977070826,0.9931173574233663,0.12874296604109192,0.12874296604109192,0,,0.017568774067595917
dp,dfy,1200,0.002503911357010812,0.10689814613007097,0.9954066876980087,0.17393647391492506,0.17393647391492506,0,,0.016759581946213523
dy,dfy,1200,0.0028931327695671783,0.062426275066895846,0.9954074381994035,0.12796835322880495,0.12796835322880495,0,,0.016385519540477275
dy,ntis,1188,0.0028941507690489364,0.06449308935533422,0.9952707440476677,0.11139896105779612,0.11139896105779612,0,,0.011726467925615474
dfr,dfy,1199,0.001366237888272306,0.379573518976969,-0.10287447063520125,0.42534601993201926,0.42534601993201926,0,,0.011443125238762564
tbl,dfy,1200,-0.0029379674225502596,0.05846786977070826,0.9931173574233663,0.10180254680430612,0.10180254680430612,0,,0.010833669258399464
tbl,ep,1200,-0.0029379674225502596,0.05846786977070826,0.9931173574233663,0.09170622606452805,0.09170622606452805,0,,0.008309589073454948
tms,lty,1200,0.0016612786703265369,0.28489455486436716,0.9648543809376331,0.31600494974081994,0.31600494974081994,0,,0.007777598719113196
lty,bm,1200,-0.002407580351040735,0.12109322965471693,0.9961837918213344,0.14993583903692065,0.14993583903692065,0,,0.00721065234555093
dp,ntis,1188,0.002504112281421487,0.10975109437316687,0.995274740381213,0.13237545059653633,0.13237545059653633,0,,0.005656089055842365
infl,tbl,1200,-0.0028631358104519323,0.0651963416465979,0.4832603800920853,0.07152648706961151,0.07152648706961151,0,,0.0015825363557534014
tms,infl,1200,0.0016612786703265369,0.28489455486436716,0.9648543809376331,0.2906942616254726,0.2906942616254726,0,,0.001449926690276368
ep,tms,1200,0.0027291617380060997,0.07883029592042315,0.9882422035836406,0.026377749969542896,0.026377749969542896,0,,0.0
de,svar,1200,0.00023366204635148324,0.8804676702111145,0.9924440094836099,0.6832392859116664,0.6832392859116664,0,,0.0
de,tbl,1200,0.00023366204635148324,0.8804676702111145,0.9924440094836099,0.5360696402683357,0.5360696402683357,0,,0.0
de,infl,1200,0.00023366204635148324,0.8804676702111145,0.9924440094836099,0.8190348207701884,0.8190348207701884,0,,0.0
de,lty,1200,0.00023366204635148324,0.8804676702111145,0.9924440094836099,0.6073187777936393,0.6073187777936393,0,,0.0
de,ntis,1188,0.0002198555325070766,0.8883905591344311,0.9924522645060264,0.5502612781450733,0.5502612781450733,0,,0.0
de,bm,1200,0.00023366204635148324,0.8804676702111145,0.9924440094836099,0.30226138545839765,0.30226138545839765,0,,0.0
de,ep,1200,0.00023366204635148324,0.8804676702111145,0.9924440094836099,0.6969059473086856,0.6969059473086856,0,,0.0
ep,dfy,1200,0.0027291617380060997,0.07883029592042315,0.9882422035836406,0.031986454279185894,0.031986454279185894,0,,0.0
ep,tbl,1200,0.0027291617380060997,0.07883029592042315,0.9882422035836406,0.006369289620784757,0.006369289620784757,0,,0.0
ep,lty,1200,0.0027291617380060997,0.07883029592042315,0.9882422035836406,0.04347054488052138,0.04347054488052138,0,,0.0
ep,infl,1200,0.0027291617380060997,0.07883029592042315,0.9882422035836406,0.01252552263166673,0.01252552263166673,0,,0.0
ep,svar,1200,0.0027291617380060997,0.07883029592042315,0.9882422035836406,0.02468336504658164,0.02468336504658164,0,,0.0
ep,bm,1200,0.0027291617380060997,0.07883029592042315,0.9882422035836406,0.0634767418380584,0.0634767418380584,0,,0.0
ep,ntis,1188,0.0027441156247861075,0.07963857069042357,0.9882827959094429,0.014557668378841981,0.014557668378841981,0,,0.0
de,tms,1200,0.00023366204635148324,0.8804676702111145,0.9924440094836099,0.6954425197156955,0.6954425197156955,0,,0.0
de,dfy,1200,0.00023366204635148324,0.8804676702111145,0.9924440094836099,0.7734096713321947,0.7734096713321947,0,,0.0
tms,svar,1200,0.0016612786703265369,0.28489455486436716,0.9648543809376331,0.27089613980667326,0.27089613980667326,0,,0.0
tms,ep,1200,0.0016612786703265369,0.28489455486436716,0.9648543809376331,0.23286090770206647,0.23286090770206647,0,,0.0
