T,K,batches,iterations_per_batch,total_replications,avg_size_5,sd_size_5,se_size_5,avg_mean_stat,avg_var_stat,avg_batch_q95,pooled_q95,chi2_q95,avg_ks_stat
500,8,60,50,3000,0.06333333333333334,0.034379076543077806,0.00443831969697768,1.1189873925998712,2.531794943184096,3.960040511580035,4.258773126143718,3.841458820694124,0.1284647528125718
1000,10,60,50,3000,0.061000000000000006,0.03363311523897194,0.00434201650672044,1.071131073179829,2.458031276634407,3.9598176912835563,4.258677328058516,3.841458820694124,0.11925788468257519
2000,13,60,50,3000,0.05000000000000001,0.03113665886738217,0.004019725374997088,1.0262872917008221,2.1704645187078815,3.653720000329795,3.831059941520632,3.841458820694124,0.12154074745891182
3000,14,60,50,3000,0.06033333333333334,0.02979970803330222,0.0038471257644940955,1.0577882218343604,2.1052146835159533,3.860988900482684,4.1215144559237356,3.841458820694124,0.12311324028198992
4000,16,60,50,3000,0.05266666666666667,0.03209449325312897,0.004143381262477827,1.022170870174445,2.041663477618248,3.681887340903267,3.9295551414307903,3.841458820694124,0.12003918712544906
