T,K,batches,iterations_per_batch,total_replications,avg_size_5,sd_size_5,se_size_5,avg_mean_stat,avg_var_stat,avg_batch_q95,pooled_q95,chi2_q95,avg_ks_stat
50,4,3,20,60,0.11666666666666665,0.02886751345948128,0.016666666666666663,1.5265463213527717,5.371960157002633,6.3283089075484265,5.413913028951236,3.841458820694124,0.20039499515273773
60,4,3,20,60,0.08333333333333333,0.07637626158259733,0.044095855184409845,1.6838394219652681,7.760094992783427,6.3919765578155,5.79137917575258,3.841458820694124,0.21277289587669848
70,4,3,20,60,0.09999999999999999,0.08660254037844387,0.05,1.3768846164526487,2.8478630701509773,4.148807264014776,4.42862297728033,3.841458820694124,0.19263442770282588
80,4,3,20,60,0.06666666666666667,0.02886751345948129,0.01666666666666667,1.0716827767564243,3.2094427962747787,3.9390847046564925,4.2070983952839764,3.841458820694124,0.1900635241204652
90,4,3,20,60,0.10000000000000002,0.1,0.05773502691896258,1.5924377837311983,7.299752448267726,6.007710879048407,7.469326121410664,3.841458820694124,0.20930120204199942
