T,K,batches,iterations_per_batch,total_replications,avg_size_5,sd_size_5,se_size_5,avg_mean_stat,avg_var_stat,avg_q95,chi2_q95,avg_ks_stat
500,8,100,20,2000,0.06649999999999999,0.05687794836402777,0.005687794836402777,1.1417346498337337,2.5484525999401764,3.697432875594335,3.841458820694124,0.19276224525980634
1000,10,100,20,2000,0.058499999999999996,0.05273097339852125,0.005273097339852125,1.0369757165872744,2.208443955486486,3.494790665700371,3.841458820694124,0.19613173298332723
2000,13,100,20,2000,0.0495,0.04948982142059541,0.0049489821420595406,1.0328459850246083,2.174906547087173,3.2811513531236494,3.841458820694124,0.1954166165556712
3000,14,100,20,2000,0.05999999999999999,0.04923659639173309,0.004923659639173309,1.0307999648405923,1.9282796556235655,3.35565576513552,3.841458820694124,0.18320212140564363
4000,16,100,20,2000,0.051500000000000004,0.05048001904944493,0.0050480019049444925,1.0119919356568037,2.0790328623143646,3.2633566550072057,3.841458820694124,0.18614654033242192
