T,basis,m_type,x_w_loading,rho,phi,batches,iterations_per_batch,K,valid_replications,size_5,size_5_error_abs,mean,mean_error_abs,var,var_error_abs,q95,q95_error_abs,ks_stat,ks_p,smoothness,dimension,lower_bound,selected_K,upper_bound,bound_region
500,legendre,rough,3.0,0.99,0.5,10,30,1,300,0.13,0.08,1.490345223950944,0.49034522395094404,4.321565274911448,2.321565274911448,6.91072788492658,3.0692690642324556,0.09821496894908299,0.005693829913037268,2.0,1.0,4.728708045015879,8,22.360679774997898,below_lower_bound
500,legendre,rough,3.0,0.99,0.5,10,30,2,300,0.14666666666666667,0.09666666666666666,1.778465634036367,0.7784656340363669,5.741638726025414,3.741638726025414,6.155527457734686,2.314068637040562,0.1591372821209699,4.1965851733453514e-07,2.0,1.0,4.728708045015879,8,22.360679774997898,below_lower_bound
500,legendre,rough,3.0,0.99,0.5,10,30,4,300,0.056666666666666664,0.006666666666666661,1.0230516842940893,0.023051684294089325,1.7694911103786393,0.23050888962136074,3.8933267892826704,0.051867968588546365,0.04448265254223682,0.5772249242509082,2.0,1.0,4.728708045015879,8,22.360679774997898,below_lower_bound
500,legendre,rough,3.0,0.99,0.5,10,30,6,300,0.056666666666666664,0.006666666666666661,1.0731086429407117,0.07310864294071173,2.748260925019751,0.7482609250197512,4.632508259116188,0.7910494384220637,0.03466637367599196,0.8511557237216376,2.0,1.0,4.728708045015879,8,22.360679774997898,inside_window
500,legendre,rough,3.0,0.99,0.5,10,30,8,300,0.05333333333333334,0.003333333333333334,1.0837670081466502,0.08376700814665017,2.075969199680252,0.07596919968025206,3.8889839302728677,0.047525109578743674,0.049294661280491425,0.4453898102616879,2.0,1.0,4.728708045015879,8,22.360679774997898,inside_window
500,legendre,rough,3.0,0.99,0.5,10,30,12,300,0.05,0.0,1.08562008562906,0.0856200856290601,1.8661604206060327,0.1338395793939673,3.6281771438934953,0.2132816768006287,0.0662591222150527,0.13722044309228132,2.0,1.0,4.728708045015879,8,22.360679774997898,inside_window
500,legendre,rough,3.0,0.99,0.5,10,30,16,300,0.07333333333333333,0.02333333333333333,1.2944433627933352,0.29444336279333516,3.4428542761458165,1.4428542761458165,4.398573544346073,0.5571147236519489,0.10078476339921061,0.004177404582213752,2.0,1.0,4.728708045015879,8,22.360679774997898,inside_window
500,legendre,rough,3.0,0.99,0.5,10,30,20,300,0.07,0.020000000000000004,1.0790358258632875,0.0790358258632875,2.5886310387668234,0.5886310387668234,4.155516857403045,0.31405803670892096,0.05169863509234654,0.3859513393438544,2.0,1.0,4.728708045015879,8,22.360679774997898,inside_window
500,legendre,rough,3.0,0.99,0.5,10,30,30,300,0.06666666666666667,0.016666666666666663,1.19045553278472,0.19045553278471994,2.2280855803011326,0.22808558030113257,4.2722191858961,0.430760365201976,0.09242612929352467,0.01110759565775623,2.0,1.0,4.728708045015879,8,22.360679774997898,above_upper_bound
500,legendre,rough,3.0,0.99,0.5,10,30,50,300,0.09,0.039999999999999994,1.2960927752973037,0.2960927752973037,3.3673526563222183,1.3673526563222183,5.113429223592924,1.2719704028987997,0.07062989443420487,0.09552640878956509,2.0,1.0,4.728708045015879,8,22.360679774997898,above_upper_bound
500,legendre,rough,3.0,0.99,0.5,10,30,100,300,0.07,0.020000000000000004,1.1829400994529817,0.18294009945298173,2.8375876220716356,0.8375876220716356,4.40721646451295,0.5657576438188259,0.06208826404408052,0.1896913698254633,2.0,1.0,4.728708045015879,8,22.360679774997898,above_upper_bound
500,legendre,rough,3.0,0.99,0.5,10,30,150,300,0.08666666666666667,0.03666666666666667,1.2433021335832892,0.24330213358328923,3.0190827575865895,1.0190827575865895,5.411238764629159,1.569779943935035,0.06243692094051967,0.18477771855520686,2.0,1.0,4.728708045015879,8,22.360679774997898,above_upper_bound
