T,K,batches,iterations_per_batch,total_replications,avg_size_5,sd_size_5,se_size_5,avg_mean_stat,avg_var_stat,avg_q95,chi2_q95,avg_ks_stat
50,4,3,4,12,0.16666666666666666,0.14433756729740646,0.08333333333333334,1.950623032940759,9.73429859726154,5.089211670251653,3.841458820694124,0.3214820617170184
60,4,3,4,12,0.08333333333333333,0.14433756729740646,0.08333333333333334,1.9545220254029179,8.917687920218047,4.518098053854218,3.841458820694124,0.5567215947321226
70,4,3,4,12,0.25,0.25,0.14433756729740646,1.418149290380379,3.40907973429719,3.2801235072991433,3.841458820694124,0.2927996872165864
80,4,3,4,12,0.08333333333333333,0.14433756729740646,0.08333333333333334,1.5780891446473655,5.682957995309464,3.777119758923206,3.841458820694124,0.4345320872311425
90,4,3,4,12,0.08333333333333333,0.14433756729740646,0.08333333333333334,1.3598009943993212,4.516739031805096,3.2653847837103798,3.841458820694124,0.3500092949657551
