T,basis,rho,phi,batches,iterations_per_batch,K,valid_replications,size_5,size_5_error_abs,mean,mean_error_abs,var,var_error_abs,q95,q95_error_abs,ks_stat,ks_p,bound_region
500,legendre,0.99,0.5,10,20,1,200,0.145,0.09499999999999999,1.613741099263598,0.6137410992635981,4.877703901430325,2.8777039014303254,5.7554708442058455,1.9140120235117215,0.12606692721481916,0.0031387342777857365,below_lower_bound
500,legendre,0.99,0.5,10,20,2,200,0.085,0.035,1.2396931425591609,0.23969314255916085,2.9316456742369734,0.9316456742369734,5.009433390398194,1.1679745697040702,0.08764532218234183,0.08716206382897695,below_lower_bound
500,legendre,0.99,0.5,10,20,4,200,0.055,0.0049999999999999975,1.0267373822618833,0.02673738226188327,1.9364374932943247,0.06356250670567531,4.094399083854989,0.2529402631608648,0.03782996340586414,0.9265878372187717,below_lower_bound
500,legendre,0.99,0.5,10,20,6,200,0.03,0.020000000000000004,1.0471965577029425,0.04719655770294251,1.859257684608201,0.14074231539179904,3.446273359091025,0.395185461603099,0.07178212284349472,0.24228493017802621,inside_window
500,legendre,0.99,0.5,10,20,8,200,0.09,0.039999999999999994,1.1782174510383983,0.17821745103839826,2.950309890830951,0.9503098908309511,4.703219950596307,0.8617611299021832,0.05745723427943117,0.5055277133045488,inside_window
500,legendre,0.99,0.5,10,20,12,200,0.075,0.024999999999999994,1.2051741530880533,0.2051741530880533,2.6518483912864776,0.6518483912864776,4.208390945439967,0.3669321247458428,0.0813486753303686,0.13406198674049985,inside_window
500,legendre,0.99,0.5,10,20,20,200,0.075,0.024999999999999994,1.19521432525961,0.1952143252596099,2.610557467378065,0.6105574673780652,4.250931117608035,0.40947229691391085,0.07240014587534993,0.23373666792465742,inside_window
500,legendre,0.99,0.5,10,20,30,200,0.05,0.0,1.0766299639581995,0.07662996395819954,3.3380113590976292,1.3380113590976292,3.5196871296626533,0.32177169103147074,0.05372304548790108,0.5916214689153723,above_upper_bound
500,legendre,0.99,0.5,10,20,50,200,0.08,0.03,1.1743916099917318,0.17439160999173176,2.657450306231689,0.6574503062316892,4.718278994430078,0.8768201737359536,0.05661515574871501,0.5245137091678103,above_upper_bound
500,legendre,0.99,0.5,10,20,100,200,0.04,0.010000000000000002,1.0008459888401802,0.0008459888401801674,1.713714947679425,0.2862850523205751,3.689363419427654,0.15209540126646992,0.05439199431901834,0.5758829129218515,above_upper_bound
500,legendre,0.99,0.5,10,20,150,200,0.065,0.015,1.082973798268348,0.08297379826834805,1.743381102441941,0.256618897558059,4.006621883651833,0.16516306295770855,0.10305531941007895,0.026536541983310236,above_upper_bound
500,legendre,0.99,0.5,10,20,200,200,0.095,0.045,1.4913161255552303,0.4913161255552303,5.376019252808795,3.3760192528087947,5.752467972318546,1.9110091516244219,0.10155241524277925,0.03005331564197422,above_upper_bound
500,legendre,0.99,0.5,10,20,300,200,0.075,0.024999999999999994,1.2097296160138118,0.2097296160138118,3.29184548501129,1.2918454850112902,5.116920228004125,1.2754614073100012,0.08232876368559844,0.12563858579638132,above_upper_bound
