T,basis,m_type,x_w_loading,rho,phi,batches,iterations_per_batch,K,valid_replications,size_5,size_5_error_abs,mean,mean_error_abs,var,var_error_abs,q95,q95_error_abs,ks_stat,ks_p,smoothness,dimension,lower_bound,selected_K,upper_bound,bound_region
500,legendre,rough,3.0,0.99,0.5,8,30,1,240,0.13333333333333333,0.08333333333333333,1.4710172464550773,0.47101724645507725,4.478209193056734,2.478209193056734,6.929155225253045,3.0876964045589212,0.09144624058407291,0.03385513291817599,2.0,1.0,4.728708045015879,8,22.360679774997898,below_lower_bound
500,legendre,rough,3.0,0.99,0.5,8,30,2,240,0.15833333333333333,0.10833333333333332,1.7725898027956617,0.7725898027956617,5.796670042187233,3.796670042187233,6.2357131726034245,2.3942543519093005,0.1607155304897453,6.9728850507359805e-06,2.0,1.0,4.728708045015879,8,22.360679774997898,below_lower_bound
500,legendre,rough,3.0,0.99,0.5,8,30,4,240,0.05,0.0,0.9808251326814952,0.019174867318504818,1.6767995175117498,0.3232004824882502,3.6967081377353437,0.14475068295878035,0.042016645047559864,0.7743082428940682,2.0,1.0,4.728708045015879,8,22.360679774997898,below_lower_bound
500,legendre,rough,3.0,0.99,0.5,8,30,6,240,0.0625,0.012499999999999997,1.1127249399520722,0.11272493995207222,3.020694368774038,1.0206943687740382,4.834673849472786,0.9932150287786619,0.040499707009325286,0.8106750735332267,2.0,1.0,4.728708045015879,8,22.360679774997898,inside_window
500,legendre,rough,3.0,0.99,0.5,8,30,8,240,0.0625,0.012499999999999997,1.1667479258130709,0.16674792581307085,2.2508733411837016,0.25087334118370164,4.053595473293478,0.21213665259935377,0.0817946612804914,0.07617629919621949,2.0,1.0,4.728708045015879,8,22.360679774997898,inside_window
500,legendre,rough,3.0,0.99,0.5,8,30,12,240,0.058333333333333334,0.008333333333333331,1.0755811125284818,0.07558111252848176,2.021009040532062,0.021009040532061984,3.973163592997842,0.1317047723037179,0.05542578888171934,0.43661171772896434,2.0,1.0,4.728708045015879,8,22.360679774997898,inside_window
500,legendre,rough,3.0,0.99,0.5,8,30,16,240,0.07083333333333333,0.02083333333333333,1.2970106555147616,0.2970106555147616,3.7993730846230798,1.7993730846230798,4.426264073025534,0.5848052523314098,0.09680930690617084,0.020746845770703477,2.0,1.0,4.728708045015879,8,22.360679774997898,inside_window
500,legendre,rough,3.0,0.99,0.5,8,30,20,240,0.07916666666666666,0.02916666666666666,1.1045565463046014,0.10455654630460143,2.791954023938689,0.7919540239386889,4.5642565659173435,0.7227977452232195,0.05156480910925479,0.5290148998106403,2.0,1.0,4.728708045015879,8,22.360679774997898,inside_window
500,legendre,rough,3.0,0.99,0.5,8,30,30,240,0.058333333333333334,0.008333333333333331,1.1386109064264276,0.1386109064264276,2.0058264497429725,0.005826449742972528,3.9778259281762907,0.13636710748216663,0.08957476503765793,0.03990095448879538,2.0,1.0,4.728708045015879,8,22.360679774997898,above_upper_bound
500,legendre,rough,3.0,0.99,0.5,8,30,50,240,0.09166666666666666,0.04166666666666666,1.269070570769929,0.269070570769929,3.398453777934896,1.398453777934896,4.9363404640420185,1.0948816433478945,0.06257583388769983,0.2919598524753766,2.0,1.0,4.728708045015879,8,22.360679774997898,above_upper_bound
500,legendre,rough,3.0,0.99,0.5,8,30,100,240,0.0625,0.012499999999999997,1.2091173767787848,0.20911737677878484,2.6159652655235877,0.6159652655235877,4.055996223036536,0.21453740234241225,0.0932117488236846,0.02890369161023898,2.0,1.0,4.728708045015879,8,22.360679774997898,above_upper_bound
500,legendre,rough,3.0,0.99,0.5,8,30,150,240,0.075,0.024999999999999994,1.2225703557933068,0.22257035579330675,2.7875237829411232,0.7875237829411232,5.411238764629153,1.5697799439350288,0.07269777517689191,0.15058840042448107,2.0,1.0,4.728708045015879,8,22.360679774997898,above_upper_bound
