T,K,batches,iterations_per_batch,total_replications,avg_size_5,sd_size_5,se_size_5,avg_mean_stat,avg_var_stat,avg_q95,chi2_q95,avg_ks_stat
500,8,100,50,5000,0.0622,0.034217958543266244,0.0034217958543266242,1.1172847430215291,2.5742426912848186,3.9495617749279988,3.841458820694124,0.12675958182496638
1000,10,100,50,5000,0.05979999999999999,0.03159017875763596,0.003159017875763596,1.0519058436773514,2.33241229331501,3.877164224497211,3.841458820694124,0.1179940734499705
2000,13,100,50,5000,0.053200000000000004,0.03460834254536576,0.003460834254536576,1.0289071390199347,2.136728320426179,3.723703701181673,3.841458820694124,0.12639907648698354
3000,14,100,50,5000,0.0564,0.03066666666666667,0.0030666666666666668,1.0376846395758563,2.128866412244013,3.7943836646973073,3.841458820694124,0.12454683670348723
4000,16,100,50,5000,0.048999999999999995,0.032458209339631686,0.0032458209339631685,0.9938947492474692,1.9251839560097377,3.552822831215037,3.841458820694124,0.11895957389396364
